stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\roger\Desktop\dev\vfxland5_starling\games\darkblue\vfxland5_01\bin\allegro5.cfg r
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08077] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08078] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08080] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08081] added dtor for sample_instance 14016008, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08083] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08084] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08086] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08088] added dtor for sample_instance 140160f8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08089] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08091] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08092] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08094] added dtor for sample_instance 14016370, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08095] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08097] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08098] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08101] added dtor for sample_instance 140170b8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08102] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08104] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08105] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08107] added dtor for sample_instance 14016c08, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08109] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08110] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08112] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08114] added dtor for sample_instance 14016cf8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08115] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08117] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08118] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08119] added dtor for sample_instance 14017298, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08121] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08122] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08124] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08125] added dtor for sample_instance 14016668, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08127] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08128] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08130] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08131] added dtor for sample_instance 14016de8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08133] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08135] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08136] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08138] added dtor for sample_instance 14016578, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08139] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08140] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08142] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08143] added dtor for sample_instance 14016848, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08145] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08146] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08148] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08149] added dtor for sample_instance 14016758, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08151] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08153] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08154] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08156] added dtor for sample_instance 14016fc8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08157] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08159] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08160] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08162] added dtor for sample_instance 14016ed8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08163] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08165] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08166] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08168] added dtor for sample_instance 140171a8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08169] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08171] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08172] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08174] added dtor for sample_instance 14016488, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08175] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08177] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08178] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08180] added dtor for sample_instance 14016938, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08181] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08183] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08184] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08186] added dtor for sample_instance 14016a28, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08187] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08188] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08190] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08191] added dtor for sample_instance 14016b18, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08193] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08195] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08196] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08198] added dtor for sample_instance 140188c8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08200] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08202] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08203] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08205] added dtor for sample_instance 140186e8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08206] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08208] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08210] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08212] added dtor for sample_instance 14017e78, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08213] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08215] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08216] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08218] added dtor for sample_instance 140198b8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08219] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08221] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08222] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08224] added dtor for sample_instance 14018f58, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08226] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08227] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08228] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08230] added dtor for sample_instance 14017f68, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08232] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08233] 
